Date,Open,High,Low,Close
"2018-01-26 00:00:00",11137.24,11608.51,10321.04,11090.06
"2018-01-27 00:00:00",11090.06,11574.36,10855.46,11407.15
"2018-01-28 00:00:00",11407.15,11942.25,11363.25,11694.47
"2018-01-29 00:00:00",11694.47,11765.4,11007.79,11158.39
"2018-01-30 00:00:00",11158.39,11191.8,9810.17,10035
"2018-01-31 00:00:00",10035,10334.42,9627.89,10166.51
"2018-02-01 00:00:00",10166.51,10203.07,8563.93,9052.58
"2018-02-02 00:00:00",9052.58,9095.8,7695.1,8827.63
"2018-02-03 00:00:00",8827.63,9471.46,8176.46,9224.39
"2018-02-04 00:00:00",9224.39,9363.41,7859.51,8186.65
"2018-02-05 00:00:00",8186.65,8346.91,6583.56,6914.26
"2018-02-06 00:00:00",6914.26,7957.34,5947.4,7700.39
"2018-02-07 00:00:00",7700.39,8582.93,7207.97,7581.8
"2018-02-08 00:00:00",7581.8,8621.27,7576.25,8237.24
"2018-02-09 00:00:00",8237.24,8719.26,7754.67,8689.84
"2018-02-10 00:00:00",8689.84,9070.64,8165.26,8556.61
"2018-02-11 00:00:00",8556.61,8556.61,7845.13,8070.8
"2018-02-12 00:00:00",8070.8,8977.08,8070.8,8891.21
"2018-02-13 00:00:00",8891.21,8925.68,8370.48,8516.24
"2018-02-14 00:00:00",8516.24,9499.05,8516.24,9477.84
"2018-02-15 00:00:00",9477.84,10218.01,9354.53,10016.49
"2018-02-16 00:00:00",10016.49,10293.44,9718.59,10178.71
"2018-02-17 00:00:00",10178.71,11123.84,10067.27,11092.15
"2018-02-18 00:00:00",11092.15,11279.18,10156.38,10396.63
"2018-02-19 00:00:00",10396.63,11254.94,10313.55,11159.72
"2018-02-20 00:00:00",11159.72,11767.58,11093.22,11228.24
"2018-02-21 00:00:00",11228.24,11261.63,10244.32,10456.17
"2018-02-22 00:00:00",10456.17,10913.65,9730.97,9830.43
"2018-02-23 00:00:00",9830.43,10397.68,9592.96,10149.46
"2018-02-24 00:00:00",10149.46,10509.62,9381.17,9682.38
"2018-02-25 00:00:00",9682.38,9858.16,9304.68,9586.46
"2018-02-26 00:00:00",9586.46,10443.28,9386.49,10313.08
"2018-02-27 00:00:00",10313.08,10852.01,10146.99,10564.42
"2018-02-28 00:00:00",10564.42,11044.16,10280.64,10309.64
"2018-03-01 00:00:00",10309.64,11074.22,10222.43,10907.59
"2018-03-02 00:00:00",10907.59,11165.66,10784.22,11019.52
